	prediction	gold
337	bot	bot
338	bot	bot
339	human	bot
340	bot	bot
341	bot	human
342	bot	bot
343	bot	bot
344	bot	bot
345	bot	bot
346	bot	bot
347	human	human
348	human	human
349	human	human
350	human	human
351	human	bot
352	human	human
353	human	human
354	human	human
355	human	human
356	bot	bot
357	bot	bot
358	human	human
359	human	human
360	human	human
361	bot	bot
362	human	bot
363	human	human
364	bot	bot
365	bot	human
366	bot	bot
367	bot	bot
368	bot	bot
369	human	human
370	bot	human
371	bot	human
372	human	human
373	human	human
374	bot	bot
375	human	human
376	human	bot
377	bot	bot
378	human	human
379	bot	bot
380	bot	bot
381	bot	human
382	human	human
383	bot	bot
384	bot	bot
385	bot	bot
386	human	human
387	human	human
388	bot	bot
389	bot	bot
390	bot	bot
391	human	human
392	human	human
393	bot	bot
394	bot	human
395	bot	bot
396	human	human
397	human	bot
398	bot	bot
399	bot	bot
400	bot	bot
401	human	human
402	human	human
403	bot	bot
404	bot	bot
405	bot	bot
406	bot	bot
407	human	human
408	human	human
409	human	human
410	bot	bot
411	human	human
412	bot	bot
413	human	human
414	bot	human
415	bot	bot
416	bot	bot
417	bot	bot
418	human	bot
419	bot	bot
420	human	human
421	human	human
422	bot	bot
423	bot	bot
424	human	human
425	human	human
426	bot	human
427	human	human
428	bot	human
429	human	human
430	bot	bot
431	human	human
432	bot	bot
433	bot	bot
434	bot	bot
435	human	bot
436	human	human
437	human	human
438	human	human
439	bot	bot
440	bot	human
441	human	human
442	bot	human
443	bot	bot
444	bot	human
445	bot	bot
446	bot	bot
447	bot	bot
448	human	human
449	bot	bot
450	human	human
451	human	bot
452	bot	bot
453	human	human
454	human	human
455	bot	bot
456	bot	bot
457	bot	bot
458	bot	human
459	human	human
460	bot	bot
461	bot	bot
462	human	human
463	human	human
464	bot	bot
465	bot	bot
466	human	bot
467	human	human
468	bot	bot
469	human	human
470	bot	bot
471	human	human
472	human	human
473	bot	bot
474	bot	bot
475	human	human
476	bot	bot
477	human	human
478	human	human
479	human	bot
480	human	human
481	human	human
482	human	human
483	human	human
484	human	human
485	human	human
486	human	human
487	human	bot
488	human	human
489	bot	bot
490	human	human
491	bot	bot
492	bot	human
493	bot	bot
494	human	human
495	bot	bot
496	bot	human
497	human	human
498	bot	bot
499	human	human
500	bot	bot
501	human	human
502	human	human
503	bot	bot
504	bot	bot
505	bot	bot
506	human	human
507	bot	human
508	bot	bot
509	bot	bot
510	human	human
511	bot	bot
512	human	human
513	bot	bot
514	bot	bot
515	human	human
516	bot	bot
517	bot	bot
518	human	human
519	human	human
520	human	human
521	human	human
522	human	human
523	bot	human
524	human	human
525	human	bot
526	bot	bot
527	human	bot
528	bot	bot
529	human	human
530	bot	bot
531	bot	bot
532	human	human
533	bot	bot
534	bot	bot
535	human	human
536	bot	human
537	bot	human
538	human	human
539	human	human
540	human	bot
541	bot	bot
542	bot	bot
543	human	human
544	human	human
545	bot	human
546	human	human
547	bot	bot
548	human	human
549	human	human
550	bot	bot
551	bot	bot
552	human	human
553	bot	bot
554	bot	bot
555	human	human
556	human	human
557	human	human
558	bot	human
559	human	human
560	bot	bot
561	human	human
562	human	human
563	human	human
564	bot	bot
565	bot	human
566	bot	bot
567	human	human
568	bot	human
569	human	human
570	bot	bot
571	human	human
572	bot	human
573	human	bot
574	human	human
575	bot	human
576	bot	bot
577	bot	bot
578	human	human
579	human	human
580	human	human
581	bot	bot
582	bot	bot
583	human	human
584	bot	bot
585	bot	bot
586	bot	bot
587	human	human
588	bot	bot
589	bot	bot
590	human	human
591	bot	bot
592	bot	bot
593	human	human
594	bot	bot
595	human	human
596	bot	bot
597	bot	bot
598	human	human
599	human	human
600	human	human
601	bot	bot
602	bot	bot
603	human	human
604	human	human
605	bot	bot
606	human	human
607	human	human
608	bot	bot
609	human	human
610	bot	human
611	human	human
612	bot	human
613	human	human
614	human	human
615	bot	bot
616	bot	bot
617	bot	bot
618	human	human
619	human	human
620	bot	bot
621	bot	human
622	bot	bot
623	bot	human
624	bot	bot
625	bot	bot
626	bot	bot
627	human	human
628	bot	bot
629	bot	bot
630	human	human
631	bot	bot
632	human	human
633	bot	human
634	bot	bot
635	human	human
636	bot	bot
637	bot	bot
638	bot	bot
639	bot	bot
640	bot	bot
641	bot	bot
642	bot	bot
643	human	human
644	human	human
645	human	human
646	human	bot
647	bot	bot
648	human	human
649	bot	bot
650	bot	bot
651	bot	bot
652	bot	bot
653	human	human
654	bot	bot
655	human	human
656	human	human
657	bot	human
658	human	human
659	bot	bot
660	bot	bot
661	bot	human
662	human	human
663	human	human
664	human	human
665	bot	human
666	human	human
667	bot	bot
668	human	human
669	human	human
670	human	human
671	bot	bot
672	human	human
673	bot	bot
674	bot	bot
675	bot	bot
676	human	human
677	bot	bot
678	human	human
679	bot	bot
680	bot	bot
681	bot	bot
682	bot	bot
683	human	human
684	human	human
685	bot	bot
686	human	human
687	bot	bot
688	bot	bot
689	bot	bot
690	human	human
691	human	human
692	human	human
693	human	human
694	bot	bot
695	bot	bot
696	bot	bot
697	human	human
698	human	human
699	bot	bot
700	human	bot
701	bot	bot
702	human	human
703	human	human
704	human	human
705	bot	bot
706	human	human
707	bot	bot
708	bot	bot
709	bot	bot
710	human	bot
711	human	human
712	bot	bot
713	human	human
714	bot	bot
715	bot	bot
716	bot	bot
717	human	bot
718	human	human
719	bot	bot
720	bot	bot
721	bot	bot
722	human	bot
723	bot	bot
724	human	human
725	human	human
726	bot	bot
727	human	human
728	bot	bot
729	bot	human
730	human	human
731	bot	bot
732	human	human
733	bot	bot
734	human	human
735	bot	bot
736	bot	human
737	bot	bot
738	bot	bot
739	bot	bot
740	bot	bot
741	human	human
742	human	human
743	bot	bot
744	bot	human
745	human	human
746	human	human
747	human	human
748	human	bot
749	human	human
750	bot	human
751	bot	human
752	bot	human
753	bot	bot
754	bot	bot
755	human	human
756	human	human
757	bot	bot
758	human	human
759	bot	bot
760	bot	bot
761	bot	bot
762	bot	bot
763	bot	human
764	human	human
765	human	human
766	human	human
767	human	human
768	bot	bot
769	human	human
770	bot	bot
771	bot	bot
772	human	human
773	bot	human
774	human	bot
775	bot	bot
776	bot	bot
777	human	human
778	human	human
779	human	human
780	bot	bot
781	bot	bot
782	human	human
783	bot	bot
784	human	human
785	bot	bot
786	human	human
787	bot	bot
788	human	human
789	bot	bot
790	human	bot
791	human	human
792	human	human
793	bot	bot
794	bot	bot
795	human	human
796	human	human
797	human	human
798	human	human
799	bot	bot
800	bot	human
801	bot	bot
802	bot	human
803	bot	bot
804	human	human
805	human	human
806	human	human
807	bot	bot
808	human	human
809	bot	bot
810	human	human
811	bot	bot
812	human	human
813	bot	bot
814	bot	bot
815	human	human
816	bot	bot
817	bot	human
818	bot	bot
819	human	human
820	human	bot
821	human	human
822	bot	human
823	human	human
824	bot	bot
825	human	human
826	human	human
827	bot	bot
828	bot	bot
829	bot	bot
830	bot	bot
831	bot	bot
832	human	human
833	bot	bot
834	bot	bot
835	bot	bot
836	bot	bot
837	bot	bot
838	bot	bot
839	bot	bot
840	human	human
841	bot	human
842	bot	human
843	human	human
844	bot	bot
845	bot	bot
846	bot	human
847	bot	bot
848	bot	human
849	bot	bot
850	bot	bot
851	human	human
852	human	human
853	bot	bot
854	human	human
855	human	human
856	human	human
857	human	human
858	human	bot
859	bot	bot
860	human	human
861	human	human
862	human	human
863	bot	bot
864	human	bot
865	human	human
866	bot	human
867	bot	bot
868	human	human
869	bot	bot
870	human	human
871	bot	human
872	human	human
873	human	human
874	bot	bot
875	human	bot
876	bot	bot
877	bot	bot
878	bot	human
879	human	bot
880	bot	bot
881	bot	bot
882	human	human
883	bot	human
884	bot	bot
885	bot	bot
886	bot	bot
887	bot	bot
888	bot	bot
889	human	human
890	bot	bot
891	human	human
892	bot	bot
893	human	bot
894	bot	bot
895	bot	bot
896	human	human
897	bot	bot
898	bot	bot
899	bot	bot
900	bot	bot
901	human	human
902	human	human
903	bot	human
904	human	human
905	bot	bot
906	bot	bot
907	human	human
908	human	human
909	bot	bot
910	bot	bot
911	bot	human
912	bot	bot
913	bot	bot
914	bot	bot
915	human	human
916	bot	bot
917	bot	bot
918	bot	bot
919	bot	bot
920	bot	bot
921	bot	bot
922	bot	bot
923	human	human
924	bot	bot
925	bot	bot
926	human	human
927	bot	bot
928	human	human
929	bot	bot
930	bot	human
931	bot	human
932	bot	bot
933	human	human
934	bot	bot
935	bot	human
936	bot	bot
937	bot	bot
938	bot	bot
939	bot	bot
940	bot	human
941	bot	bot
942	bot	bot
943	bot	bot
944	bot	bot
945	human	human
946	bot	bot
947	human	human
948	human	bot
949	human	human
950	bot	bot
951	human	human
952	human	human
953	human	bot
954	bot	bot
955	human	human
956	bot	human
957	bot	bot
958	bot	human
959	bot	human
960	bot	bot
961	human	human
962	human	human
963	human	human
964	human	human
965	human	bot
966	human	human
967	bot	bot
968	human	human
969	human	human
970	bot	human
971	human	human
972	bot	bot
973	human	human
974	bot	bot
975	human	human
976	bot	bot
977	bot	bot
978	bot	bot
979	bot	bot
980	bot	bot
981	bot	human
982	bot	bot
983	bot	bot
984	human	human
985	human	human
986	bot	human
987	bot	bot
988	bot	bot
989	human	human
990	bot	human
991	bot	bot
992	bot	bot
993	bot	bot
994	human	human
995	human	human
996	human	human
997	human	human
998	human	human
999	bot	bot
1000	human	human
1001	human	human
1002	human	human
1003	human	human
1004	bot	bot
1005	human	human
1006	human	human
1007	human	human
1008	human	human
1009	bot	bot
1010	human	human
1011	bot	bot
1012	bot	bot
1013	bot	bot
1014	bot	bot
1015	bot	bot
1016	bot	bot
1017	bot	human
1018	human	human
1019	human	human
1020	bot	bot
1021	human	human
1022	human	human
1023	bot	bot
1024	human	bot
1025	human	human
1026	bot	bot
1027	human	human
1028	bot	bot
1029	bot	bot
1030	bot	bot
1031	bot	bot
1032	bot	bot
1033	human	human
1034	human	human
1035	human	human
1036	bot	human
1037	human	human
1038	human	human
1039	bot	bot
1040	bot	bot
1041	human	human
1042	human	human
1043	human	human
1044	human	human
1045	bot	bot
1046	human	human
1047	bot	bot
1048	human	human
1049	human	human
1050	human	human
1051	bot	bot
1052	bot	bot
1053	bot	bot
1054	human	human
1055	human	bot
1056	bot	bot
1057	bot	bot
1058	bot	bot
1059	human	bot
1060	bot	bot
1061	bot	bot
1062	bot	bot
1063	bot	bot
1064	human	human
1065	bot	bot
1066	bot	bot
1067	bot	human
1068	human	bot
1069	bot	human
1070	bot	bot
1071	bot	bot
1072	bot	bot
1073	human	bot
1074	human	bot
1075	human	human
1076	human	bot
1077	human	human
1078	bot	bot
1079	human	human
1080	human	human
1081	bot	bot
1082	bot	human
1083	human	human
1084	human	human
1085	bot	bot
1086	bot	human
1087	bot	bot
1088	human	human
1089	human	human
1090	human	human
1091	human	human
1092	bot	human
1093	bot	human
1094	bot	bot
1095	human	human
1096	bot	bot
1097	human	human
1098	human	human
1099	bot	bot
1100	human	human
1101	bot	human
1102	human	bot
1103	bot	human
1104	bot	bot
1105	human	human
1106	human	human
1107	human	human
1108	bot	human
1109	bot	bot
1110	bot	bot
1111	bot	bot
1112	bot	human
1113	bot	bot
1114	human	human
1115	bot	bot
1116	bot	human
1117	bot	bot
1118	bot	bot
1119	bot	bot
1120	bot	bot
1121	bot	human
1122	human	human
1123	bot	human
1124	bot	bot
1125	bot	bot
1126	bot	bot
1127	bot	human
1128	bot	bot
1129	human	human
1130	human	human
1131	human	bot
1132	bot	bot
1133	bot	bot
1134	bot	bot
1135	bot	bot
1136	human	human
1137	human	human
1138	bot	bot
1139	human	human
1140	human	human
1141	human	human
1142	bot	bot
1143	bot	bot
1144	bot	bot
1145	human	bot
1146	bot	human
1147	bot	bot
1148	bot	bot
1149	bot	bot
1150	bot	bot
1151	human	human
1152	human	human
1153	human	bot
1154	bot	bot
1155	human	human
1156	bot	bot
1157	human	human
1158	human	human
1159	bot	bot
1160	bot	human
1161	bot	bot
1162	human	bot
1163	bot	bot
1164	human	human
1165	bot	bot
1166	bot	bot
1167	human	human
1168	bot	bot
1169	human	human
1170	bot	bot
1171	bot	human
1172	human	human
1173	bot	human
1174	bot	bot
1175	human	human
1176	human	human
1177	human	bot
1178	human	human
1179	human	human
1180	human	human
1181	bot	bot
1182	human	human
1183	human	human
1184	bot	bot
1185	human	human
1186	human	human
1187	bot	bot
1188	human	human
1189	bot	bot
1190	bot	bot
1191	human	human
1192	human	human
1193	bot	bot
1194	human	human
1195	bot	bot
1196	bot	bot
1197	human	human
1198	bot	human
1199	bot	bot
1200	human	bot
1201	bot	bot
1202	bot	bot
1203	human	human
1204	human	human
1205	human	human
1206	human	human
1207	bot	bot
1208	human	human
1209	bot	bot
1210	bot	bot
1211	bot	human
1212	bot	human
1213	human	human
1214	human	bot
1215	human	human
1216	human	human
1217	bot	human
1218	human	human
1219	human	human
1220	bot	bot
1221	human	human
1222	human	human
1223	bot	bot
1224	bot	bot
1225	bot	human
1226	bot	bot
1227	bot	human
1228	bot	bot
1229	human	human
1230	bot	bot
1231	human	human
1232	human	human
1233	human	human
1234	human	human
1235	human	human
1236	human	human
1237	human	human
1238	bot	bot
1239	bot	bot
1240	bot	bot
1241	bot	human
1242	bot	human
1243	bot	bot
1244	human	human
1245	bot	bot
1246	human	human
1247	bot	bot
1248	human	human
1249	bot	bot
1250	human	human
1251	human	human
1252	bot	bot
1253	human	bot
1254	human	human
1255	human	human
1256	human	human
1257	human	human
1258	human	bot
1259	human	human
1260	human	human
1261	human	human
1262	bot	bot
1263	bot	bot
1264	human	human
1265	bot	bot
1266	human	human
1267	bot	bot
1268	bot	human
1269	human	human
1270	human	human
1271	human	human
1272	bot	human
1273	bot	bot
1274	bot	bot
1275	human	human
1276	bot	bot
1277	bot	bot
1278	bot	bot
1279	bot	bot
1280	human	human
1281	bot	bot
1282	human	human
1283	human	human
1284	human	human
1285	human	bot
1286	bot	bot
1287	bot	bot
1288	bot	human
1289	human	human
1290	human	human
1291	bot	bot
1292	human	human
1293	human	human
1294	human	human
1295	bot	bot
1296	human	human
1297	human	human
1298	human	human
1299	bot	bot
1300	human	human
1301	human	human
1302	human	human
1303	human	human
1304	bot	bot
1305	bot	human
1306	bot	bot
1307	bot	bot
1308	bot	bot
1309	bot	human
1310	human	human
1311	human	bot
1312	bot	bot
1313	human	human
1314	human	human
1315	bot	bot
1316	bot	human
1317	human	human
1318	bot	bot
1319	human	human
1320	bot	bot
1321	bot	bot
1322	human	human
1323	bot	bot
1324	human	human
1325	human	human
1326	human	human
1327	bot	bot
1328	bot	bot
1329	bot	bot
1330	bot	bot
1331	bot	bot
1332	bot	human
1333	human	human
1334	bot	human
1335	human	bot
1336	bot	bot
1337	human	human
1338	bot	human
1339	human	human
1340	bot	bot
1341	bot	bot
1342	human	human
1343	bot	bot
1344	bot	bot
1345	human	bot
1346	human	human
1347	bot	human
1348	human	human
1349	bot	bot
1350	human	human
1351	bot	bot
1352	human	bot
1353	bot	bot
1354	human	human
1355	bot	bot
1356	human	human
1357	human	human
1358	bot	bot
1359	human	human
1360	bot	bot
1361	bot	bot
1362	bot	bot
1363	bot	bot
1364	human	human
1365	bot	human
1366	bot	human
1367	bot	human
1368	bot	human
1369	bot	bot
1370	bot	bot
1371	bot	bot
1372	bot	bot
1373	bot	bot
1374	bot	bot
1375	human	human
1376	human	human
1377	bot	bot
1378	bot	bot
1379	human	human
1380	bot	bot
1381	human	human
1382	human	human
1383	bot	bot
1384	bot	bot
1385	human	human
1386	bot	bot
1387	human	bot
1388	human	human
1389	human	bot
1390	bot	bot
1391	bot	human
1392	bot	bot
1393	human	human
1394	human	human
1395	human	human
1396	human	human
1397	bot	bot
1398	bot	bot
1399	bot	bot
1400	human	bot
1401	bot	bot
1402	bot	bot
1403	bot	bot
1404	human	human
1405	bot	human
1406	human	bot
1407	bot	bot
1408	bot	bot
1409	human	human
1410	human	human
1411	human	human
1412	bot	human
1413	bot	bot
1414	human	bot
1415	human	human
1416	human	human
1417	human	human
1418	bot	bot
1419	human	human
1420	human	human
1421	bot	bot
1422	bot	bot
1423	human	human
1424	bot	bot
1425	human	human
1426	bot	human
1427	human	human
1428	bot	bot
1429	bot	human
1430	human	human
1431	bot	bot
1432	bot	bot
1433	bot	bot
1434	human	human
1435	human	human
1436	bot	human
1437	bot	human
1438	bot	bot
1439	bot	bot
1440	bot	bot
1441	bot	bot
1442	human	human
1443	human	human
1444	bot	bot
1445	human	human
1446	human	human
1447	human	human
1448	human	human
1449	bot	human
1450	bot	bot
1451	bot	bot
1452	bot	bot
1453	human	human
1454	bot	human
1455	human	human
1456	human	human
1457	bot	human
1458	human	human
1459	human	bot
1460	bot	bot
1461	human	human
1462	bot	bot
1463	human	human
1464	human	human
1465	bot	bot
1466	human	human
1467	bot	bot
1468	bot	bot
1469	human	human
1470	bot	bot
1471	human	human
1472	bot	bot
1473	bot	bot
1474	bot	bot
1475	bot	human
1476	human	human
1477	human	human
1478	human	human
1479	bot	bot
1480	bot	human
1481	human	human
1482	human	human
1483	bot	bot
1484	bot	bot
1485	bot	bot
1486	bot	bot
1487	human	human
1488	bot	bot
1489	human	human
1490	bot	bot
1491	human	human
1492	human	human
1493	bot	bot
1494	bot	human
1495	human	human
1496	bot	human
1497	bot	bot
1498	human	human
1499	human	human
1500	human	human
1501	bot	bot
1502	bot	bot
1503	bot	bot
1504	bot	bot
1505	bot	bot
1506	bot	bot
1507	human	human
1508	human	human
1509	bot	bot
1510	human	human
1511	bot	human
1512	human	bot
1513	human	human
1514	bot	bot
1515	human	human
1516	bot	bot
1517	bot	bot
1518	bot	bot
1519	human	human
1520	bot	bot
1521	bot	bot
1522	human	human
1523	bot	bot
1524	human	human
1525	bot	bot
1526	human	human
1527	bot	bot
1528	bot	human
1529	human	human
1530	human	human
1531	bot	bot
1532	human	bot
1533	bot	bot
1534	bot	bot
1535	bot	bot
1536	bot	bot
1537	bot	bot
1538	bot	bot
1539	human	human
1540	human	human
1541	human	human
1542	bot	bot
1543	bot	human
1544	bot	bot
1545	bot	bot
1546	bot	human
1547	human	human
1548	bot	bot
1549	human	human
1550	bot	bot
1551	human	human
1552	bot	bot
1553	bot	human
1554	human	bot
1555	bot	bot
1556	human	human
1557	bot	bot
1558	bot	bot
1559	bot	bot
1560	bot	bot
1561	human	human
1562	human	human
1563	human	human
1564	human	bot
1565	human	human
1566	bot	bot
1567	bot	bot
1568	human	bot
1569	bot	bot
1570	bot	bot
1571	human	human
1572	human	human
1573	human	human
1574	bot	human
1575	bot	bot
1576	bot	human
1577	bot	human
1578	human	human
1579	bot	human
1580	human	human
1581	human	human
1582	bot	human
1583	bot	bot
1584	bot	bot
1585	human	human
1586	bot	bot
1587	human	human
1588	human	human
1589	bot	bot
1590	bot	bot
1591	human	human
1592	bot	bot
1593	human	human
1594	human	human
1595	human	human
1596	bot	bot
1597	bot	bot
1598	human	human
1599	human	human
1600	human	human
1601	bot	human
1602	bot	bot
1603	bot	bot
1604	human	human
1605	human	human
1606	bot	bot
1607	bot	human
1608	bot	human
1609	bot	bot
1610	bot	human
1611	human	human
1612	bot	bot
1613	human	bot
1614	bot	bot
1615	human	human
1616	bot	bot
1617	bot	human
1618	bot	bot
1619	human	human
1620	human	human
1621	bot	bot
1622	bot	bot
1623	bot	bot
1624	bot	human
1625	bot	bot
1626	bot	bot
1627	human	human
1628	bot	bot
1629	bot	bot
1630	human	human
1631	bot	bot
1632	bot	bot
1633	bot	bot
1634	human	bot
1635	bot	bot
1636	human	human
1637	bot	bot
1638	bot	bot
1639	bot	bot
1640	bot	bot
1641	bot	bot
1642	human	human
1643	human	human
1644	bot	human
1645	bot	bot
1646	human	human
1647	bot	human
1648	bot	bot
1649	bot	bot
1650	bot	bot
1651	human	human
1652	human	human
1653	human	human
1654	human	human
1655	bot	bot
1656	human	human
1657	human	human
1658	bot	bot
1659	bot	bot
1660	human	bot
1661	human	human
1662	bot	bot
1663	human	bot
1664	bot	human
1665	human	human
1666	human	bot
1667	bot	bot
1668	bot	bot
1669	bot	human
1670	human	human
1671	human	bot
1672	bot	bot
1673	human	human
1674	bot	human
1675	bot	bot
1676	bot	bot
1677	bot	bot
1678	human	human
1679	bot	bot
1680	bot	bot
1681	bot	human
1682	human	human
1683	human	human
1684	bot	bot
1685	human	human
1686	human	human
1687	bot	bot
1688	human	human
1689	human	human
1690	human	human
1691	bot	human
1692	human	human
1693	human	bot
1694	bot	bot
1695	bot	bot
1696	human	human
1697	human	human
1698	human	human
1699	bot	bot
1700	bot	bot
1701	human	bot
1702	human	human
1703	human	human
1704	bot	bot
1705	human	human
1706	human	human
1707	bot	bot
1708	bot	bot
1709	bot	bot
1710	bot	bot
1711	human	human
1712	bot	bot
1713	bot	bot
1714	bot	bot
1715	bot	bot
1716	bot	bot
1717	bot	bot
1718	human	human
1719	human	human
1720	human	human
1721	bot	bot
1722	human	human
1723	human	human
1724	human	human
1725	bot	human
1726	bot	bot
1727	bot	bot
1728	bot	bot
1729	human	human
1730	human	human
1731	bot	human
1732	bot	bot
1733	human	bot
1734	bot	bot
1735	human	human
1736	bot	human
1737	human	human
1738	bot	bot
1739	human	human
1740	bot	bot
1741	human	human
1742	bot	bot
1743	bot	bot
1744	human	human
1745	bot	bot
1746	bot	human
1747	human	human
1748	bot	bot
1749	bot	bot
1750	bot	bot
1751	human	human
1752	human	human
1753	bot	bot
1754	bot	bot
1755	bot	bot
1756	human	bot
1757	human	human
1758	bot	bot
1759	bot	bot
1760	bot	human
1761	bot	bot
1762	bot	bot
1763	bot	bot
1764	bot	bot
1765	human	human
1766	bot	human
1767	bot	bot
1768	human	human
1769	bot	human
1770	bot	bot
1771	human	human
1772	human	human
1773	human	human
1774	bot	bot
1775	bot	bot
1776	human	human
1777	bot	bot
1778	bot	bot
1779	human	human
1780	bot	bot
1781	bot	bot
1782	bot	bot
1783	bot	bot
1784	bot	bot
1785	bot	bot
1786	bot	bot
1787	bot	bot
1788	bot	bot
1789	human	bot
1790	bot	bot
1791	human	human
1792	human	human
1793	human	human
1794	bot	bot
1795	bot	bot
1796	bot	bot
1797	human	human
1798	bot	bot
1799	bot	bot
1800	bot	bot
1801	human	human
1802	human	human
1803	human	human
1804	bot	bot
1805	bot	bot
1806	bot	bot
1807	human	human
1808	bot	bot
1809	human	human
1810	bot	bot
1811	bot	bot
1812	bot	bot
1813	bot	human
1814	human	human
1815	human	human
1816	human	human
1817	bot	bot
1818	human	human
1819	bot	bot
1820	human	human
1821	human	human
1822	bot	bot
1823	bot	bot
1824	bot	bot
1825	human	bot
1826	bot	bot
1827	bot	bot
1828	bot	bot
1829	bot	human
1830	bot	bot
1831	bot	bot
1832	bot	human
1833	human	human
1834	human	human
1835	bot	bot
1836	human	human
1837	human	human
1838	bot	human
1839	bot	bot
1840	bot	bot
1841	bot	bot
1842	bot	human
1843	human	human
1844	bot	bot
1845	bot	bot
1846	bot	human
1847	bot	bot
1848	bot	bot
1849	human	human
1850	human	bot
1851	human	human
1852	bot	bot
1853	bot	human
1854	bot	bot
1855	bot	bot
1856	bot	bot
1857	bot	bot
